"category","Words","Counts"
"Arts","code, acast, glenn, story, policy, discuss, week, youtube, california","6532, 6335, 6010, 5459, 5309, 5265, 5262, 4960, 4897"
"Business","bloomberg, carol, news, massar, people, ceo, time, tax, producer","9009, 4411, 4057, 3725, 3671, 3568, 3404, 3354, 3297"
"Comedy","dad, jokes, comedy, funny, joke, subscribe, foqn, instagram, twitter","11622, 10212, 8061, 5619, 5205, 5000, 4753, 4686, 4494"
"Culture","acast, subscribe, content, culture, todays, wrestling, york, check, times","7634, 6150, 6051, 5876, 5670, 5450, 5392, 5273, 5249"
"Education","time, teacher, people, wire, discuss, talk, students, life, teachers","3334, 2802, 2717, 2680, 2623, 2604, 2553, 2296, 2222"
"Fiction","stories, tale, audiobooks, tv, tall, short, website, book, bookshelf, sleepy","5500, 3148, 3122, 3042, 3001, 2911, 2698, 2394, 2135, 2135"
"Health","bergs, health, berg, keto, life, clients, pm, talk, facebook","31706, 27093, 19486, 15615, 12288, 10089, 10071, 8960, 8735"
"History","war, world, story, people, author, hit, life, british, time","4886, 4690, 3406, 2967, 2966, 2915, 2816, 2557, 2552"
"Lifestyle","white, sleep, sounds, sound, relaxing, life, reiki, youtube, lifestyle","16599, 15130, 11388, 9412, 8263, 6652, 6026, 5390, 4541"
"Music","music, cove, premium, con, bedtime, bonus, content, stories, sounds","4808, 1995, 1931, 1602, 1547, 1423, 1407, 1376, 1372"
"News","trump, president, cbs, biden, reporter, policy, ai, edition, california","7540, 6886, 5345, 5307, 4499, 4418, 4193, 4045, 3866"
"Parenting","parenting, parents, dr, child, family, children, life, love, time","11028, 6410, 5941, 5175, 4926, 4655, 4592, 4414, 4287"
"Religion & Spirituality","god, reading, instagram, book, life, dgroup, todays, catechism, facebook","8061, 4797, 4384, 4116, 3908, 3881, 3852, 3773, 3684"
"Science","university, dr, week, twitter, policy, life, music, people, future","3201, 2934, 2791, 2632, 2561, 2500, 2436, 2362, 2211"
"Self-Improvement","book, version, audio, purchase, life, kindle, hardcover, paperback, ibook","33308, 25035, 21250, 20771, 18414, 17065, 14700, 14699, 14698"
"Society & Culture","adchoices, ag, features, culture, discuss, slate, talk, patreon, people","6608, 4765, 4075, 4069, 4034, 3978, 3882, 3670, 3662"
"Sports","nfl, sgpn, call, football, gambling, code, social, app, game","23595, 21514, 19895, 19683, 18138, 17820, 17434, 16257, 16084"
"TV & Film","movie, discuss, week, talk, review, instagram, code, subscribe, john","4194, 3966, 3784, 3654, 3482, 3396, 3166, 3115, 2999"
"Technology","tech, apple, google, acast, technology, month, world, people, youtube","4289, 3671, 3038, 2951, 2663, 2662, 2607, 2546, 2485"
"True Crime","murder, police, true, found, home, family, dr, yearold, killer","5215, 4791, 3911, 3675, 3598, 3351, 3251, 3119, 2960"
